date,day,日,曜,col,客数,売上,祝祭日,祝祭日前日,振替休日,
2021/12/2 0:00,2,2,木,晴後曇一時雨,338,285870,0,0,0,
2021/12/3 0:00,3,3,金,雨時々曇一時晴,354,362795,0,0,0,
2021/12/4 0:00,4,4,土,曇一時雨後晴,451,457975,0,0,0,
2021/12/5 0:00,5,5,日,晴時々曇,648,744495,0,0,0,
2021/12/6 0:00,6,6,月,晴時々曇,334,303525,0,0,0,
2021/12/7 0:00,7,7,火,雨時々曇一時晴,340,323840,0,0,0,
2021/12/8 0:00,8,8,水,曇時々晴,333,327330,0,0,0,
2021/12/9 0:00,9,9,木,晴時々曇,400,326320,0,0,0,
2021/12/10 0:00,10,10,金,晴時々曇,393,372635,0,0,0,
2021/12/11 0:00,11,11,土,曇時々晴,484,526290,0,0,0,
2021/12/12 0:00,12,12,日,曇時々晴,635,678875,0,0,0,
2021/12/13 0:00,13,13,月,晴,316,323620,0,0,0,
2021/12/14 0:00,14,14,火,曇時々晴,323,310605,0,0,0,
2021/12/15 0:00,15,15,水,晴時々曇,391,403050,0,0,0,
2021/12/16 0:00,16,16,木,雨時々曇,275,313905,0,0,0,
2021/12/17 0:00,17,17,金,曇後雪時々雨、みぞれを伴う,312,283745,0,0,0,
2021/12/18 0:00,18,18,土,曇時々晴,391,450840,0,0,0,
2021/12/19 0:00,19,19,日,みぞれ時々雨後曇一時晴,513,576335,0,0,0,
2021/12/20 0:00,20,20,月,晴時々曇,358,388665,0,0,0,
2021/12/21 0:00,21,21,火,曇時々晴,319,272455,0,0,0,
2021/12/22 0:00,22,22,水,晴一時曇,375,402180,0,0,0,
2021/12/23 0:00,23,23,木,晴一時曇,341,341270,0,0,0,
2021/12/24 0:00,24,24,金,晴時々曇後雨,340,369890,0,0,0,
2021/12/25 0:00,25,25,土,晴一時曇,471,530385,0,0,0,
2021/12/26 0:00,26,26,日,曇時々晴一時雪,456,538610,0,0,0,
2021/12/27 0:00,27,27,月,晴時々曇,356,414855,0,0,0,
2021/12/28 0:00,28,28,火,曇,467,668725,0,0,0,
2021/12/29 0:00,29,29,水,雨後時々曇,609,769920,0,0,0,
2021/12/30 0:00,30,30,木,晴時々曇,668,723495,0,0,0,
2021/12/31 0:00,31,31,金,晴一時雪,311,302220,0,1,0,
2022/1/1 0:00,1,1,土,晴一時曇,,,1,0,0,
2022/1/2 0:00,2,2,日,雨時々曇後晴,,,0,0,0,
2022/1/3 0:00,3,3,月,晴一時曇,314,326125,0,0,0,
2022/1/4 0:00,4,4,火,晴一時曇,329,299415,0,0,0,
2022/1/5 0:00,5,5,水,曇後一時雨,265,225100,0,0,0,
2022/1/6 0:00,6,6,木,曇時々晴一時雨,286,251645,0,0,0,
2022/1/7 0:00,7,7,金,晴,299,302945,0,0,0,
2022/1/8 0:00,8,8,土,晴後一時曇,471,540180,0,0,0,
